,0
0,"Lessertinella is a genus of  dwarf spiders that was first described by J. Denis in 1947. As of May 2019 it contains only two species, both found in Austria, France, Germany, Italy, Macedonia, Romania, Slovakia, and Switzerland: L. carpatica and L. kulczynskii."
1,Estación La Floresta is a suburb of La Floresta in the Canelones Department of Uruguay.
2,Edward Collins is a former Canadian figure skater. He was the 1957–58 bronze and 1959 national silver medalist.
3,"The Trump International Hotel and Tower, originally the Gulf and Western Building, is a high-rise building at 15 Columbus Circle and 1 Central Park West on the Upper West Side of Manhattan, New York City. It was originally designed by Thomas E. Stanley as an office building and completed in 1970 as the headquarters of Gulf and Western Industries. In the mid-1990s, a joint venture composed of the General Electric Pension Fund, Galbreath Company, and developer Donald Trump renovated the building into a hotel and residential tower. The renovation was designed by Philip Johnson and Costas Kondylis.
The Trump International Hotel and Tower is 583 ft (178 m) tall and has contained 44 physical stories since it was built. The building originally had an aluminum-and-marble facade and was surrounded by a public plaza on Broadway and Central Park West. There was a theater and shops in the basement as well as a restaurant on the top floor. After the building was renovated, a glass facade was installed. The lower portion of the tower is used as a hotel, while the upper floor is a residential condominium.
Planning for an office skyscraper on the site dates to 1965, when developers Hyman R. and Irving J. Shapiro planned to replace an existing two- or three-story building there. After the Shapiros' firm made two failed proposals for the site, Realty Equities Corporation took over development in 1967. Upon its completion, the building served for more than two decades. By the early 1990s, the tower was bankrupt and the GE/Galbreath/Trump joint venture had taken over the structure. Gulf and Western successor Paramount Communications occupied the building until 1995, after which it was renovated; the residences opened in 1996 and the hotel rooms opened in 1997. The hotel was renovated in 2010."
4,"Colpospira yarramundi is a species of sea snail, a marine gastropod mollusk in the family Turritellidae."
5,"""Honey"" is the fifth episode of the sixth season of the post-apocalyptic horror television series Fear the Walking Dead, which aired on AMC on November 8, 2020, in the United States."
6,"Locustville is a historic plantation house located near Ottoman, Lancaster County, Virginia.  It was built in 1855, and is a two-story, five-bay, gable roofed
Greek Revival style frame dwelling. It has a central passage plan and two interior end chimneys.  There is a rear ell which also has an interior end chimney.  It features a front porch with large Doric order fluted columns.It was listed on the National Register of Historic Places in 1994."
7,Weisburd is a municipality and village in Santiago del Estero Province in Argentina.
8,"Nokken is a self-built community located on the north-west coast of Amager, just south of Islands Brygge, in Copenhagen, Denmark."
9,"Zaq (stylized as ZAQ, born March 16, 1988) is a Japanese singer-songwriter, lyricist, composer and arranger signed to Lantis.

"
